ID_OG;ID;date_death;date_obs;long;lat;exact;sex;age;collision_certainty_score_NEW;GPS_certainty_score;Comment
Ccr_001;;12/02/1989;19890212;34.8216;-2.4373;no;M;subadult;1;0.75;Seronera
Z058;Hy_001;23/03/1989;19890326;0;0;NA;F;adult;0.5;0;NA
Dead_female_hyena;Hy_002;20/08/1992;19920820;34.8611;-2.4393;no;F;adult;0.75;0.75;500m north west of Moses junction track leading to the actual dens about 500m after the junction (direction to the dens) exactly after the  road turns in a sharp curve.
Z045;Hy_003;24/12/1992;19921224;0;0;NA;X;unknown;0.5;0;NA
Z002;Hy_004;06/03/1993;19930306;34.964708;-2.221979;no;M;unknown;1;0.25;road from Lobo to Seronera
Z003;Hy_005;08/03/1993;19930308;34.9118;-2.669;no;M;subadult;1;0.5;near simba kopjes-main road
Z046;Hy_006;14/03/1993;19930314;0;0;NA;X;unknown;1;0;NA
no_name;;02/04/1993;19930402;0;0;NA;X;unknown;1;0;NA
Z006;Hy_007;26/06/1993;19930626;35.1429;-2.0105;no;X;adult;1;0.75;Approx 2 km south of Lobo Lodge on main road
Z047;Hy_008;17/07/1993;19930717;0;0;NA;X;unknown;0.5;0;NA
Z048;Hy_009;19/07/1993;19930719;0;0;NA;X;unknown;0.5;0;NA
Z007;Hy_010;26/08/1993;19930826;34.8072;-2.3883;no;X;adult;1;1;1.2 km after junction to Mwanza
Z052;Hy_011;27/09/1993;19930927;0;0;NA;X;unknown;0.5;0;NA
Z008;Hy_012;18/10/1993;19931018;34.77634;-2.708961;no;F;adult;1;1;8.1 km after Sopa lodge junction on road to Moru Kopjes
Z012;Hy_013;09/01/1994;19940109;34.9076;-2.6544;no;F;adult;1;0.75;Main road junction to Sopa lodge. About 1.5km [North] of simba kopjes
Z015;Hy_014;06/05/1994;19940506;34.8636;-2.4829;no;F;adult;0.75;0.5;along Wandamu river
Z019;Hy_016;30/10/1994;19941031;34.8218;-2.4349;no;F;adult;1;1;the rangers found the carcass at the entry of the footpath to the school opposite to the football field Seronera village
Z053;Hy_017;28/02/1995;19950228;34.8417;-2.5183;no;M;adult;1;0.5;Partridge car comes to my house around 10.30 am to tell me of a hyaena which Sarah Durant and a film crew saw lying by road at 6am. They report 13.9 km from hippo pool south of Seronera. I clock on Mercedes 12.2 km
Z023;Hy_018;03/04/1995;19950403;34.98322;-2.80025;no;F;adult;1;0.25;near Naabi
NA;;15/04/1995;19950415;34.84374;-2.33158;no;X;adult;1;0.75;12km north of northern dam on Seronera on main road from Seronera to Lobo
Z027;Hy_019;10/03/1996;19960310;34.8378;-2.5124;no;F;adult;1;0.5;Naabi-Seronera road [North of Z053]
Z030;Hy_021;09/11/1996;19961109;34.8052;-2.4136;no;F;adult;0.25;1;1.8km from the bridge at the hippo pool direction of fort ikoma
Z032;Hy_023;14/04/1997;19970414;34.93852;-2.59958;yes;M;adult;0.5;1;
Z036;Hy_025;28/10/1997;19971028;34.8484;-2.4391;no;M;subadult;1;1;near road by lion house
Z037;Hy_026;18/02/1998;19980219;34.892833;-2.617141;no;X;subadult;1;1;roadkill 22.3 km Seron->Naabi  Kilimafisi / Simba Kopjes area (22km from Seronera)
Z039;Hy_027;16/03/1998;19980316;34.8161;-2.4449;no;M;adult;1;0.75;near visitor center
Z041;Hy_028;09/06/1998;19980609;34.8224;-2.4752;no;M;adult;0.5;0.75;south of Seronera airstrip on main road before the dam
Z042;Hy_029;14/06/1998;19980615;34.9625;-2.7588;no;F;adult;1;0.25;south of simba kopjes
Z085;Hy_030;14/02/2000;20000214;34.820953;-2.4283568;no;M;subadult;1;0.75;near river crossing on campsite road (just by Korongo)
Ccr_305;;31/03/2000;20000331;34.86579;-2.45848;no;X;subadult;1;0.5; road from SWRC to Wandamu River
Z102;Hy_031;30/04/2000;20000430;34.96974;-2.77018;yes;F;adult;1;1;near simba kopjes
Z108;Hy_032;16/02/2001;20010218;34.9933;-2.9654;no;M;adult;1;0.25;south of triangle road. main  road in Triangle
Z109;Hy_033;30/03/2001;20010330;34.9903;-2.8156;no;F;adult;1;0.5;just north of Naabi
Ccr_439;;20/04/2001;20010420;34.8549;-2.545;no;F;adult;1;1;6.4km south of Downey damn (southern dam on main road)
Z110;Hy_034;25/04/2001;20010425;34.89;-2.5148;no;F;adult;1;0.25;s of Downeys dam
Z112;Hy_036;07/08/2002;20020807;34.78876;-2.45377;yes;M;adult;1;0.75;near Hippopool M/P range
Z115;Hy_037;22/02/2003;20030224;34.986968;-2.8082177;no;M;adult;1;0.25;near Naabi -ME: north of Naabi on main road
Z123;Hy_038;29/10/2003;20031029;34.80106;-2.42597;yes;F;subadult;1;1;P/M Hippopool
Z130;;15/03/2004;20040315;34.97099;-2.77472;no;F;adult;1;1;7 km north of Naabi hill
Z117;Hy_039;30/05/2004;20040530;34.82462;-2.36298;yes;F;adult;1;1;Kubukubu 36m
Z118;Hy_040;25/08/2004;20040825;34.77391;-2.40358;yes;M;subadult;1;1;near Seronera crossing
Z119;Hy_041;20/12/2004;20041220;34.930194;-2.695046;no;M;adult;1;1;found 5.3km south of Sopa turnoff at Simba Kopjes
Z122;Hy_042;18/03/2005;20050318;34.80544;-2.40986;yes;M;subadult;1;1;2km north of hippo pool
Ccr1261;Hy_043;04/05/2005;20050504;34.870379;-2.567223;no;F;adult;1;0.75;16km south of Seronera. ex-CDP roadkill
