ID,lat,long,lat_decimal,long_decimal
Z003,2 38.05,34 54.02,2.634167,34.900333
Z006,2 24.01,35 06.84,2.400167,35.114
Z007,2 23.24,34 48.37,2.387333,34.806167
Z012,2 39.15,34 54.26,2.6525,34.904333
Z015,2 28.94,34 51.26,2.482333,34.854333
Z018,2 27.46,34 48.11,2.457667,34.801833
Z019,2 27.50,34 50.00,2.458333,34.833333
Z062-A?,2 26.43,34 48.58,2.4405,34.809667
Z053,2 35.80,34 53.00,2.596667,34.883333
Z023,2 49.93,34 59.85,2.832167,34.9975
Z027,2 35.25,34 52.76,2.5875,34.879333
Z028,3 33.05,36 06.05,3.550833,36.100833
Z030,2 21.65,34 49.59,2.360833,34.8265
Z055,2 26.22,34 46.24,2.437,34.770667
Z033,3 32.05,36 06.30,3.534167,36.105
Z035,2 39.57,34 47.01,2.6595,34.7835
Z036,2 26.24,34 50.34,2.437333,34.839
Z039,2 26.43,34 48.58,2.4405,34.809667
Z041,2 28.70,34 49.38,2.478333,34.823
Z042,2 42.68,34 56.35,2.711333,34.939167
Z085,2 24.82,34 50.48,2.413667,34.841333
Z108,2 52.22,35 04.28,2.870333,35.071333
