ID,ID_closest_seg,distance,long,lat,type
Hy_001,52,20.5384952757669,34.8217748,-2.4372401,minor_road
Hy_004,206,19.2790955281472,34.9645982,-2.2218441,major_road
Hy_005,120,62.7719391838033,34.9005007,-2.6347081,major_road
Hy_008,206,44.8194380936353,35.1431394,-2.010174,major_road
Hy_011,122,344.341265973237,34.8072436,-2.3887509,major_road
Hy_013,6,32.6434858971982,34.7763511,-2.709256,minor_road
Hy_014,120,320.990060169542,34.9071981,-2.6521721,major_road
Hy_015,9,99.2711569456254,34.8534382,-2.482295,minor_road
Hy_016,52,19.9518401070941,34.8216927,-2.4347554,minor_road
Hy_017,120,637.692198160065,34.885609,-2.6019604,major_road
Hy_018,120,13.1319487036179,34.9973921,-2.8322153,major_road
Hy_019,120,45.9067334399534,34.8439734,-2.3312376,major_road
Hy_020,120,312.977381853034,34.8804626,-2.5900911,major_road
Hy_021,85,5.28108178776815,34.8484104,-2.4391466,minor_road
Hy_022,120,50.4634519726399,34.892792,-2.6166865,major_road
Hy_023,120,150.355726279161,34.8100251,-2.439188,major_road
Hy_024,120,28.5749693369856,34.9393022,-2.7111114,major_road
Hy_025,41,1517.36195558984,34.8486769,-2.4252296,minor_road
Hy_026,171,22.5812074036619,34.8657251,-2.4582865,minor_road
Hy_027,120,52.3120946288353,34.9692564,-2.7700224,major_road
Hy_028,120,267.327248273122,35.0735391,-2.8712875,major_road
Hy_029,120,591.460023005311,34.987997,-2.8107784,major_road
Hy_030,120,39.5363260775083,34.8550185,-2.5453371,major_road
Hy_031,37,110.712466838598,34.8909832,-2.5146431,minor_road
Hy_032,81,228.528939093339,34.7905119,-2.45485,minor_road
Hy_033,120,75.3918373856791,34.9871354,-2.8088784,major_road
Hy_034,120,13.298566370618,34.8009405,-2.4259659,major_road
Hy_035,120,367.346275793538,34.9719842,-2.7778881,major_road
Hy_036,120,136.212909270519,34.8258295,-2.3631732,major_road
Hy_037,167,133.32282823178,34.77497,-2.403017,minor_road
Hy_038,120,662.494428461696,34.9271511,-2.6898951,major_road
Hy_039,120,225.587972908532,34.8057872,-2.41187,major_road
Hy_040,120,380.615092728231,34.8689988,-2.5640732,major_road
Hy_041,120,259.019835811493,35.0408224,-2.857144,major_road
Hy_042,120,573.206649930218,34.9940599,-2.8238266,major_road
Hy_043,122,709.069077074538,34.7118536,-2.3117987,major_road
Hy_044,120,123.466777144103,34.777512,-2.2348471,major_road
Hy_045,120,45.2532098247993,34.7648721,-2.2230596,major_road
Hy_046,65,50.520970002281,34.8373781,-2.3464194,minor_road
Hy_047,120,39.5287904306156,34.8105728,-2.4000338,major_road
Hy_048,171,108.617387359126,34.8604969,-2.4385274,minor_road
Hy_049,120,642.60352848303,34.8620304,-2.556198,major_road
Hy_050,41,20.5778962139863,34.8170559,-2.4361226,minor_road
Hy_051,163,18.5732523624284,34.9753599,-2.5458263,minor_road
Hy_052,120,44.2636098531204,34.8926924,-2.615829,major_road
Hy_053,120,231.187551091281,34.8225154,-2.4772449,major_road
Hy_054,120,20.7051998630459,34.8200512,-2.3826193,major_road
Hy_055,120,29.2375092394268,34.8251662,-2.3661647,major_road
Hy_056,120,51.9501546794958,34.924493,-2.685374,major_road
Hy_057,166,24.4612538816385,34.7051203,-2.5054152,minor_road
Hy_058,120,25.9976685761432,34.9839361,-2.802053,major_road
Hy_059,120,252.516690086617,34.8057872,-2.41187,major_road
Hy_060,137,193.852179978759,34.9072897,-2.5669236,minor_road
Hy_061,120,123.426498151566,34.8472944,-2.5298069,major_road
Hy_062,120,14.4691737661426,34.8059294,-2.4334211,major_road
Hy_063,120,10.4984097828595,34.8327783,-2.5024024,major_road
Hy_064,74,156.737616757063,34.8136179,-2.5233253,minor_road
Hy_065,120,89.0695168227806,34.7536443,-2.2114437,major_road
Hy_066,120,28.1547215268101,34.8376223,-2.5104655,major_road
Hy_067,153,34.1633622119896,34.8194227,-2.4385971,minor_road
Hy_068,9,128.701267372776,34.8371008,-2.4877648,minor_road
Hy_069,120,819.119564852538,34.8301865,-2.2770109,major_road
Hy_070,120,120.241077626575,34.942608,-2.7184966,major_road
Hy_071,41,95.158818083356,34.8206662,-2.4286401,minor_road
Hy_072,74,78.0773377699282,34.8140333,-2.5155971,minor_road
Hy_073,120,1.47823350359458,34.8015928,-2.4211536,major_road
Hy_074,120,43.4430412722778,34.8120555,-2.3959115,major_road
Hy_075,81,15.2515757438736,34.8078845,-2.4981542,minor_road
Hy_076,197,31.7737681715258,34.9527741,-2.7353004,minor_road
Hy_077,120,14.356197678233,34.8249348,-2.4864658,major_road
Hy_078,150,2.18433918153616,34.792491,-2.410795,minor_road
Hy_079,150,9.26123614980208,34.798411,-2.421834,minor_road
Hy_080,120,74.4873239191762,34.8557185,-2.5474164,major_road
Hy_081,8,100.005641786207,34.8741019,-2.4555451,minor_road
Hy_082,2,142.959045434975,34.812015,-2.4513181,minor_road
Hy_083,82,7.37578028612236,34.8090994,-2.4938729,minor_road
