ID;date_death;long;lat;exact;sex;age;collision_certainty_score_NEW;GPS_certainty_score
Hy_001;26/03/1989;0;0;yes;F;adult;0.5;0
Hy_002;20/08/1992;34.8611;-2.4393;no;F;adult;0.75;0.75
Hy_003;24/12/1992;0;0;yes;X;unknown;0.5;0
Hy_004;06/03/1993;34.964708;-2.221979;no;M;unknown;1;0.25
Hy_005;08/03/1993;34.8599;-2.5616;no;M;subadult;1;0.25
Hy_006;14/03/1993;0;0;yes;X;unknown;0.5;0
Hy_007;26/06/1993;35.135747;-2.0455946;no;X;adult;1;0.25
Hy_008;17/07/1993;0;0;yes;X;unknown;0.5;0
Hy_009;19/07/1993;0;0;yes;X;unknown;0.5;0
Hy_010;27/08/1993;34.8072;-2.3883;no;X;adult;1;0.75
Hy_011;27/09/1993;0;0;yes;X;unknown;0.5;0
Hy_012;18/10/1993;34.77634;-2.708961;no;F;adult;1;0.75
Hy_013;09/01/1994;34.9076;-2.6544;no;F;adult;1;0.5
Hy_014;06/05/1994;34.8636;-2.4829;no;F;adult;0.75;0.25
Hy_015;29/10/1994;34.8008;-2.4557;no;X;adult;1;0.25
Hy_016;31/10/1994;34.8218;-2.4349;no;F;adult;1;0.75
Hy_017;28/02/1995;34.8417;-2.5183;no;M;adult;1;0.5
Hy_018;03/04/1995;34.98322;-2.80025;no;F;adult;1;0.25
Hy_019;10/03/1996;34.8473;-2.53356;no;F;adult;1;0.25
Hy_020;10/01/1997;0;0;yes;X;unknown;0.5;0
Hy_021;09/11/1996;34.8052;-2.4136;no;F;adult;0.25;0.25
Hy_022;04/04/1997;34.7979;-2.4427;no;X;unknown;0.5;0.25
Hy_023;14/04/1997;35.100712;-2.762828;no;M;adult;0.5;1
Hy_024;21/07/1997;34.761193;-2.792789;no;F;adult;0.5;0.25
Hy_025;28/10/1997;34.8484172485978;-2.43913905523207;no;M;subadult;1;0.75
Hy_026;19/02/1998;34.892833;-2.617141;no;X;subadult;1;0.75
Hy_027;16/03/1998;34.8161;-2.4449;no;M;adult;1;0.5
Hy_028;09/06/1998;34.8224;-2.4752;no;M;adult;0.5;0.5
Hy_029;15/06/1998;34.9625;-2.7588;no;F;adult;1;0.25
Hy_030;14/02/2000;34.820953;-2.4283568;no;M;subadult;1;0.75
Hy_031;30/04/2000;34.96974;-2.77018;yes;X;unknown;1;1
Hy_032;18/02/2001;34.9933;-2.9654;no;M;adult;1;0.25
Hy_033;20/04/2001;34.9903;-2.8156;no;F;adult;1;0.5
Hy_034;29/04/2001;34.8444;-2.5244;no;F;adult;1;0.25
Hy_035;31/03/2002;0;0;yes;X;unknown;0.5;0
Hy_036;07/08/2002;34.78876;-2.45377;yes;M;adult;1;1
Hy_037;24/02/2003;34.986968;-2.8082177;no;M;adult;1;0.25
Hy_038;29/10/2003;34.80106;-2.42597;yes;F;subadult;1;1
Hy_039;30/05/2004;34.82462;-2.36298;yes;F;adult;1;1
Hy_040;25/08/2004;34.77391;-2.40358;yes;M;adult;1;1
Hy_041;20/12/2004;34.930194;-2.695046;no;M;adult;1;0.75
Hy_042;18/03/2005;34.80544;-2.40986;yes;M;subadult;1;1
Hy_043;04/05/2005;34.870379;-2.567223;no;F;adult;1;0.75
Hy_044;04/05/2006;34.88136;-2.59224;no;M;subadult;1;0.5
Hy_045;19/08/2006;34.71553;-2.30656;yes;F;adult;1;1
Hy_046;19/08/2006;34.778502;-2.235352;no;M;adult;1;0.25
Hy_047;23/08/2006;34.765209;-2.223289;no;F;adult;1;0.25
Hy_048;12/07/2007;0;0;yes;X;subadult;0.25;0
Hy_049;08/03/2011;34.83746;-2.34597;yes;F;cub;1;1
Hy_050;20/04/2011;34.8072;-2.4126;no;F;adult;1;0.5
Hy_051;17/09/2011;34.8611;-2.4393;no;F;cub;0.75;0.5
Hy_052;19/02/2012;34.8599;-2.5616;no;F;subadult;1;0.25
Hy_053;12/03/2012;34.8146;-2.4385;no;M;subadult;1;0.75
Hy_054;04/04/2012;34.97547;-2.5457;yes;F;adult;1;1
Hy_055;12/02/2013;34.89243;-2.61613;yes;F;adult;1;1
Hy_056;26/04/2013;34.82236;-2.47516;yes;X;subadult;1;1
Hy_057;02/06/2013;34.8201;-2.3828;yes;X;adult;1;1
Hy_058;09/12/2013;34.82494;-2.36603;yes;X;subadult;0.75;1
Hy_059;22/01/2014;34.92469;-2.6858;yes;F;adult;1;1
Hy_060;24/01/2014;34.70491;-2.50548;yes;F;adult;1;1
Hy_061;17/04/2014;34.98409;-2.80223;yes;X;adult;1;1
Hy_062;08/02/2015;34.80485;-2.40979;yes;M;adult;1;1
Hy_063;15/02/2015;34.90774;-2.56523;yes;F;adult;0.25;1
Hy_064;03/06/2015;34.84782;-2.53079;yes;F;adult;0.75;1
Hy_065;16/06/2015;34.80604;-2.43349;yes;M;adult;1;1
Hy_066;04/08/2015;34.8328;-2.50231;yes;M;adult;0.5;1
Hy_067;01/03/2016;34.81353;-2.52474;yes;F;adult;1;1
Hy_068;20/05/2016;34.75315;-2.21081;yes;M;subadult;1;1
Hy_069;28/05/2016;34.83763;-2.51072;yes;F;adult;1;1
Hy_070;01/06/2016;34.8197;-2.43873;yes;F;adult;1;1
Hy_071;09/06/2016;34.83759;-2.48671;yes;M;adult;1;1
