ID;Comment
Z003;02 38 05 34 54 02
Z006;02 24 01 35 06 84
Z007;02 23 24 34 48 37
Z012;02 39 15 34 54 26
Z015;02 28 94 34 51 26
Z018;02 27 46 34 48 11
Z019;02 27 50 34 50 00
Z062-A?;02 26 43 34 48 58
Z053;02 35 80 34 53 00
Z023;02 49 93 34 59 85
Z027;02 35 25 34 52 76
Z028;03 33 05 36 06 05
Z030;02 21 65 34 49 59
Z055;02 26 22 34 46 24
Z033;03 32 05 36 06 30
Z035;02 39 57 34 47 01
Z036;02 26 24 34 50 34
Z039;02 26 43 34 48 58
Z041;02 28 70 34 49 38
Z042;02 42 68 34 56 35
Z085;02 24 82 34 50 48
Z108;2 52 220 35 04 286
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
