segment_ID,unclassified,bare_ground,water,clouds,sparse_grassland,open_grassland,dense_grassland,closed_grassland,sparse_shrubbed_grassland,open_shrubbed_grassland,dense_shrubbed_grassland,closed_shrubbed_grassland,open_treed_grassland,dense_treed_grassland,closed_treed_grassland,dense_shrubland,open_grassed_shrubland,dense_grassed_shrubland,closed_grassed_shrubland,open_treed_shrubland,dense_treed_shrubland,closed_treed_shrubland,dense_forest,open_grassed_woodland,dense_grassed_woodland,closed_grassed_woodland,dense_shrubbed_forest,closed_shrubbed_forest
1_1,0,0,0,0,0,10.0805244068812,5.57043667298881,12.5905345001609,0,0,0.637762175711798,0,52.716312292726,4.02372475293648,0,0,1.40806796881066,0,3.85846116305638,0,0,0.0432569127874089,0,9.07091915393917,0,0,0,0
1_2,0,0,0,0,0,6.05219890296642,1.09979689680423,51.1206598781371,0,0,0,0,23.9855202619613,0.872376583721348,0,0,0.276330878594029,0,8.06665100791685,0,0,0.980974619008801,0,6.66896942398829,0,0,0.876521546900258,0
1_3,0,0,0,0,0,4.49614476833777,2.85875111114826,58.8728846384269,0,0,0,0,2.07377188509264,3.40603517219663,0,0,1.50475251001078,0,10.6310764832263,0,0,1.78759025031837,0,12.3634924748443,0,0.306523659446641,1.69897704695107,0
10_1,0,0,0,0,0,2.80162149589641,0,72.1889640812084,0,0,1.66136874633114,3.64282787112209,1.82639804180004,0.532745577990187,0,0,2.00250312891114,3.24769900428633,0,0,6.73518889762648,1.26319403679378,0,3.0729783911305,0,1.0245107269042,0,0
10_2,0,0,0,0,0,4.26623088518573,0,91.4636801305112,0,0,0,4.2700889843003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_3,0,0,0,0,0,24.0894242829376,7.56853610464078,67.1925351122645,0,0,0,0,1.1495045001585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_4,0,0,0,0,0,21.1722293674245,4.23598813559789,69.0517566640864,0,0,0,0,5.54002583289038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_5,0,0,0,0,0,6.91168176238346,2.76478329628523,81.6877343153824,0,0,0,0.270395806376696,7.12125233624189,0.331773995554229,0,0,0,0.912378487774128,0,0,0,0,0,0,0,0,0,0
10_6,0,0,0,0,0,0.808465433274009,0.993336368527792,54.3327400907798,0,0,0,40.9406343556418,1.68315329111654,0.331112122842597,0,0,0,0.910558337817143,0,0,0,0,0,0,0,0,0,0
10_7,0,0,0,0,0,11.5693072726018,9.66668968851443,37.4382208716066,0,0,0,41.2155535603278,0.110228606947994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102_18,0,0,0,0,0,3.3708175614069,3.73000303926174,38.0474124830774,0,0,1.38839002016964,14.7857320476336,10.315254330948,0.346475837869201,0,0,0,0,0,1.43674191141933,0,0,0,26.5791727682152,0,0,0,0
102_19,0,0,0,0,0.497586704483256,10.9516069286184,2.52829333289103,29.9196121035201,0,0,2.06691988301183,13.7975264412046,15.8030772973301,4.14545012246161,0,0,0,0,0,3.05960535845593,0,0,0,17.2303218280229,0,0,0,0
102_20,0,0,0,0,0,8.99378929971666,5.13107033183513,22.5748332822901,0,0,2.64734203548735,6.33541092432104,15.9968987884858,6.3572076956398,0,0,0,0,0,0,0,0,0,31.9634476422235,0,0,0,0
102_21,0,0,0,0,0,2.02039175821596,1.29637660942131,24.2505020593414,0,0,5.34599968509069,0,2.14828913093321,0.650812548859283,0.278446115980542,0,0,0,0,0,0,0,0,64.0091820921563,0,0,0,0
102_22,0,0,0,0,0,1.60447287519111,0.551934253591712,10.4362488340388,0,0,2.72848698263063,0,39.2797809924878,6.59644223180132,0.2997002997003,0,6.00614854758499,0,0,0,0,0,0,32.4967849829728,0,0,0,0
102_23,0,0,0,0,0,2.96594987018284,0.0846154270185051,7.00792132694629,0,1.35053938889471,0,0,31.029331510565,9.06928542685309,0,0,3.65114189483432,0,0,0,0,0.24805825510311,0,44.5931568996034,0,0,0,0
102_24,0,0,0,0,0,8.01427108453636,17.3047911642606,13.9798266767974,0,1.12869302853116,0,0.302820080825433,13.7587680177948,1.21953905277879,0,0,7.94792595773733,4.05063151751401,0,0,0,0.257121777719049,0,32.0356116415045,0,0,0,0
102_25,0,0,0,0,0,3.35064112275676,19.1708788408829,6.59743550897298,0,27.0224633988457,0.0608756731444627,0.0330546641508395,21.9989808145218,8.31490076714365,0,0,6.11318467916319,4.68935502086577,0,0,0,0,0,2.64822950955142,0,0,0,0
102_26,0,0,0,0,0,0,1.07588237239919,3.1490853759386,0,28.4090282601747,0,0,27.2438335924495,35.0658264695184,0,0,1.72091561642023,0,0,0,0,0,0,3.33542831310024,0,0,0,0
102_27,0,0,0,0,0,1.70945826716076,7.39561275807304,2.42136491971061,0,11.9863353626258,0,0,29.3767646020825,37.8487846303163,0,0,2.04666269631198,0,0,0,0,0,0,7.21501676371976,0,0,0,0
102_28,0,0,0,0,0,0.359061974703078,23.0810989556068,14.4261346413515,0,1.89644244812477,0,0,16.7530105541626,14.461682603544,0,0,20.0810162859272,0.377800435393645,0,0,0,0,0,8.56375210118774,0,0,0,0
102_29,0,0,0,0,0,0,38.684377325213,4.18496982390388,0,7.29627690357429,0,0.0416126987626423,34.7218011960205,0.929258412103509,0,0,13.7558905393115,0.385813101110591,0,0,0,0,0,0,0,0,0,0
102_30,0,0,0,0,0,0,19.3467253623949,18.8100892006107,0,11.6134346367238,0,0,45.5482338940268,2.20219172346158,0,0,1.76307568553341,0,0,0,0,0,0,0.716249497247949,0,0,0,0
102_31,0,0,0,0,0,5.85435401895653,22.4411848248441,15.5242830629395,0,2.86526629878743,0,0,22.5090246236411,24.4350130577828,0,0,0.248194385842992,0,0,0,0,0,0,6.12267972720678,0,0,0,0
102_32,0,0,0,0,0,13.6827627348953,5.94488449938684,2.37767761464444,0,0,0,0,23.2558910284027,34.8694749168689,0,0,0,0,0,0,0.359040643400833,4.41592372871993,0,15.0670025077607,0,0,0.027342325920525,0
102_33,0,0,0,0,0,0.259931311768252,0.344547249428981,0.139367426735318,0,0,0,0,3.44298379024096,33.7166859310791,0,0,0,0,0,0,0.718958947444101,15.3058064230685,0,44.0934757240742,0,0,1.97824319615965,0
102_34,0,0,0,0,0,2.6576043693614,0,1.57549088979303,0,0.177726428445073,0,0,7.24421767203253,31.6145741199357,0,0,0,0,0.52516362993101,0,0,3.02632451795507,0,49.5209954891198,0,0,3.65790288342473,0
102_35,0,0,0,0,0,2.33754632080466,6.29769940003526,5.91610419975294,0,0,0,0,0.579010058231869,39.3870213516856,0,0,0,0,0.523866243162167,0,0,3.38114302099877,0,37.0660181754018,0,0,4.51159122992764,0
102_36,0,0,0,0,0,3.2168604811756,15.2432118885175,6.20003867082836,0,0,0,0,5.89205314476699,27.3913764052701,0,0,0.364886887826976,0,0.524818385216695,0,0,6.50912907770073,0,29.7483633952987,0,0,4.90926166339805,0
102_37,0,0,0,0,0,10.2073286071566,24.9709784068312,0.172888730798183,0,0,0,0,11.9659957922137,20.7295518404237,0,0,0.358461483313618,0,0,0,0,3.13515928098142,0,28.4596358582806,0,0,0,0
102_38,0,0,0,0,0,12.3435457909726,16.1790642325524,0.305410722392659,0,0,0,0,4.35031435292823,36.5805004883815,0,0,0,0.357688233432844,0,0,0,4.40231671917346,0,25.4811594601657,0,0,0,0
102_39,0,0,0,0,0,3.42537939764174,4.49113248304232,0,0,0,0,0,1.92237310989117,44.5541475763952,0,0,0.340391574139046,0.825525240434227,0.0723710460780672,0,0,8.18012960746271,0,36.188549964915,0,0,0,0
102_40,0,0,0,0,0,13.8489520896201,12.4726826781309,1.40548137737175,0,0,0,0,15.7419425957312,30.8800793683608,0,0,0.330701500558059,0,0,0,0,2.67344604742811,0,22.6467143428,0,0,0,0
103_2,0,0,0,0,0,5.78063547773685,6.32515333961553,41.373764960135,0,0,7.77644861500615,8.93517133973969,10.3737706028067,0.0157994820026972,0,0,0,0,0,2.31688118225267,0,0,0,16.945508715107,0,0,0.156866285598208,0
104_1,0,0,0,0,0,10.7256837331029,11.6588410139204,22.7128468994429,0,0,5.02933879648765,0,15.8237066949299,0.846413916832949,0,0,0,0,0,0,0,0,0,33.2031689452831,0,0,0,0
107_1,0,0,0,0,0,20.0371814259355,39.4711358370682,0,0,0,0,0,0,5.25062778340433,0,0,0,0,0,0,0.842409023432623,0,29.437422827731,4.96122310242928,0,0,0,0
107_2,0,0,0,0,0,6.03393655098819,10.8198461572664,0,0,0,0,0,3.16050110046464,19.4618283275164,0,0,0,0,0,0,1.39697872435028,0,25.817011627132,33.3098975122831,0,0,0,0
107_3,0,0,0,0,0,0.401111280045336,44.7245988196123,0,0,0,1.14334683271365,0,13.9371656830087,7.72450206637271,0,0,0,0,0,0,6.31577492432513,0,0,25.7535003939239,0,0,0,0
107_4,0,0,0,0,0,1.14026157965787,30.6125102352443,0.180361608427203,0,0,4.3593843362029,0.442605174054485,8.76966826742203,26.1958638546482,0,0,0,0,0,0.276628233784053,6.50574280213338,0,0,21.5169739084248,0,0,0,0
107_5,0,0,0,0,0,22.5213385532666,19.1124268540676,0.00193672444561263,0,0,0.774689778245051,0.442679873282886,23.1787181650917,8.75703791829783,0,0,0,0,0,0.276674920801804,2.01972692185317,0,5.40567460262562,17.5090956880212,0,0,0,0
107_6,0,0,0,0,0,28.7573881621338,19.055435726491,0,0,0,0,0,2.35888960475084,16.6267962688031,0,3.48693240707023,0,0,0,0.560239782626964,4.84579399983194,0,19.1190229418192,4.34269867503293,0,0.846802431440656,0,0
107_7,0,0,0,0,0,6.07623951714757,0.312009947955052,0,0,0,0,0,3.44282360886095,48.5537478531066,0,1.83277435609393,0,0,0,0,10.6596364321126,0,11.1969688606929,15.9264682486858,0,1.99933117534569,0,0
11_1,0,0,0,0,0,0.533707229923788,0.565367828309098,74.3676360840334,0,0,0,21.5368393676922,1.72437187634275,0.339220696985459,0,0,0,0.932856916710012,0,0,0,0,0,0,0,0,0,0
11_2,0,0,0,0,0,0.178493470896722,0.359197387253466,67.4263230897607,0,0,0,32.0359860520887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111_1,0,0,0,0,0,0,37.5487242705473,0.792321026023897,0,0,8.84141136161726,0,37.0278412001152,0,13.4165009969123,0,0,2.37320114478524,0,0,0,0,0,0,0,0,0,0
112_1,0,0,0,0,0,0,28.6275727122058,14.2195528899188,0,0,27.9363425220204,0,9.10433861964603,0,14.2309163373116,0,0,5.13295233449553,0,0,0,0.332588704178977,0,0.415735880223721,0,0,0,0
112_10,0,0,0,0,0,3.68145997511406,65.1159961288529,0.24305267523849,0,0,0,0,7.8846951472418,5.06954237522467,0,0,0,2.60694041200055,0,0,0,0,0,15.3983132863264,0,0,0,0
112_11,0,0,0,0,0,51.6789292855664,30.6272716225326,0.552370220616666,0,0,0,0,11.2026204443265,3.72849898916249,0,0,0,0,0,0,0,0,0,2.21030943779759,0,0,0,0
112_2,0,0,0,0,0,0,24.7782703570573,0.0675878849405916,0,0,55.6830376478307,0,8.18806535886413,0,11.283038751307,0,0,0,0,0,0,0,0,0,0,0,0,0
112_3,0,0,0,0,0,0,5.61888409620727,0.0695171489593367,0,0,48.7834498932103,0,21.4143529181849,0,23.6595613998355,0,0,0,0,0,0,0,0,0.45423454360177,0,0,0,0
112_4,0,0,0,0,0,1.44046715457875,17.5551394205998,6.57490152190897,0,0,39.6510745330948,0,25.5067951267889,0,9.27162224302899,0,0,0,0,0,0,0,0,0,0,0,0,0
112_5,0,0,0,0,0,0,55.3063308561951,2.20278497732835,0,0,22.9480355864384,0,11.6324695722634,0,6.88363367946678,0,0,1.02674532830876,0,0,0,0,0,0,0,0,0,0
112_6,0,0,0,0,0,0,54.7062892559688,0.498049306881381,0,0,13.1117013917713,0,15.7712846905179,0,10.4570985860934,0,0,5.45557676876677,0,0,0,0,0,0,0,0,0,0
112_7,0,0,0,0,0,0.99471969627892,89.4518265540478,3.09634136569488,0,0,0,0,0.07266980003371,0.0889721506116145,0,0,0,2.59704734036821,0,0,0,0,0,3.69842309297036,0,0,0,0
112_8,0,0,0,0,0,3.0588974953605,57.6795065173553,1.08094097014452,0,0,0,4.99107947949384,0,3.4954101371306,0,0,1.32360118793207,0,0,0,0,0,0,28.3705642125815,0,0,0,0
112_9,0,0,0,0,0,2.00557056836946,64.1254290637623,0,0,0,0,2.44313954356743,0.348229671159447,1.90848668069911,0,0,0.885095272208285,0.507546820156938,0,0,0,0,0,27.7765023800771,0,0,0,0
113_1,0,0,0,0,0,18.4952225074225,62.764605497261,0,0,0,0,0,5.23834395153518,5.28470839280177,0,0,0,0,0,1.25686738373279,0.865841975460363,0,1.70375356461555,3.89209933162585,0,0.498557395547338,0,0
113_2,0,0,0,0,0,31.6412822163346,43.555075462681,0,0,0,0,0,5.59636651959983,2.59940823334724,0,0,0,0,0,1.22745996181972,1.93083899913528,0,7.7203170454765,4.74518395323329,0,0.984067608373139,0,0
113_3,0,0,0,0,0,5.76199592622685,26.1826185679468,1.58610019701034,0,0,0,0,5.62119475084312,1.87855481228365,0,15.0537604487829,0,0,0,0.0723484300390682,1.14087908907761,0,35.9805438375833,6.72200394020678,0,0,0,0
113_4,0,0,0,0,0,0.91245921583808,21.6028866891559,0,0,0,0,0,0,16.8351490350055,0,12.5208759608473,0,0,0,14.5564895205443,0,0,24.2664380910251,9.30570148758509,0,0,0,0
114_1,0,0,0,0,0,1.14063128238324,1.90827613542715,0.00541799859132037,0,0,1.01715794606525,0,44.4295845535707,12.2871653316528,1.25554988408335,0,1.43320320631454,3.02894637036868,0,0,0,0.741410333549103,0,32.7526569579935,0,0,0,0
114_2,0,0,0,0,0,1.11061133600991,4.07816482582838,11.6167169218297,0,0,2.1412586558271,0.249887550602229,56.3787962083746,4.29584464768632,2.018258450364,0,0,1.53014476818765,0,0,0,0.718843187232412,0,15.8614734480595,0,0,0,0
114_3,0,0,0,0,0,0,14.2615024867618,17.049505005423,0,0.693463963451675,19.4852278306507,0,28.6056658779671,0.305124143918737,8.57343367294574,0,2.19134612450729,2.10119580925858,0.0174752918789822,0,0,1.14643462437831,0,5.56962516885849,0,0,0,0
117_1,0,0,0,0,0,4.0351412022282,0.99616008769904,47.3559417023086,0,0,0,0,23.0896667251734,11.3657708924178,0,0,0,0,1.046968871152,0,0,0.492691233483296,0,11.6176592855362,0,0,0,0
