segment_ID,ID_closest_amenity,distance,long_amenity,lat_amenity
4_1,0,1469.72821805372,34.7796586,-2.7509399
4_2,0,3172.85869704304,34.7796586,-2.7509399
4_3,4927,3748.12056262847,34.7747982,-2.7446124
4_4,4922,3913.9231124909,34.7742671,-2.7440944
5_1,4815,1201.92345284509,34.7594893,-2.766193
5_2,4824,1809.75168765783,34.7582544,-2.7655758
5_3,4824,1545.26102779477,34.7582544,-2.7655758
5_4,4912,2610.86365122241,34.7641095,-2.7543743
5_5,4913,3433.52205889803,34.7732136,-2.7446633
5_6,4922,4837.07001160162,34.7742671,-2.7440944
5_7,5120,5016.1943715498,34.7344832,-2.6681016
6_1,4149,5725.82712292798,34.7603117,-2.6059159
6_2,5120,5294.44781749831,34.7344832,-2.6681016
6_3,4922,5739.67911575232,34.7742671,-2.7440944
6_4,4922,3313.44918873946,34.7742671,-2.7440944
6_5,4922,892.424502861032,34.7742671,-2.7440944
6_6,0,368.613416971903,34.7796586,-2.7509399
6_7,4815,896.107633229544,34.7594893,-2.766193
7_1,249,2958.90033431179,34.7562171,-2.356964
7_2,5106,3040.35959109724,34.7027211,-2.3826676
7_3,5106,1399.96001256111,34.7027211,-2.3826676
8_1,5132,1110.41052171924,34.8606854,-2.4560677
8_2,5132,3180.68201190192,34.8606854,-2.4560677
8_3,5132,4059.03623145668,34.8606854,-2.4560677
9_1,5132,1836.33031531738,34.8606854,-2.4560677
9_2,5132,2896.28070265972,34.8606854,-2.4560677
9_3,442,3792.27992510186,34.8205775,-2.4575322
9_4,442,2918.90120686907,34.8205775,-2.4575322
9_5,442,1731.66799935842,34.8205775,-2.4575322
10_1,5130,2631.41592892433,34.8013173,-2.4066725
10_2,5130,4052.1246158069,34.8013173,-2.4066725
10_3,4462,4263.81565195274,34.7471997,-2.4521875
10_4,5107,3334.86561171816,34.7041592,-2.3867942
12_1,4886,6939.0862051287,35.1307968,-2.805763
12_2,4886,8945.72236236675,35.1307968,-2.805763
14_1,1974,10643.7213715507,34.9486121,-2.4484504
15_1,4886,6975.07296353565,35.1307968,-2.805763
15_2,4886,9411.88750145963,35.1307968,-2.805763
18_1,5051,12274.4149032195,34.9783418,-2.7874209
18_2,5051,10347.3626906956,34.9783418,-2.7874209
19_1,5051,12169.1366023081,34.9783418,-2.7874209
19_2,5051,11757.9841599346,34.9783418,-2.7874209
19_3,5051,11256.8529056398,34.9783418,-2.7874209
19_4,5051,12008.7538696204,34.9783418,-2.7874209
20_1,5051,12158.6626403025,34.9783418,-2.7874209
20_2,5052,10309.0808037176,34.9785134,-2.7876379
20_3,5052,8461.92229514814,34.9785134,-2.7876379
20_4,4867,7072.17867652668,35.0038968,-2.8305218
20_5,4867,4632.00846502928,35.0038968,-2.8305218
21_1,5120,4981.38785920728,34.7344832,-2.6681016
23_1,5126,2290.19470045196,34.7750755,-2.5044614
23_2,5103,912.722742964077,34.7793608,-2.5341991
23_3,5103,1456.84361110147,34.7793608,-2.5341991
