"","clan","age_class","year","nb"
"1","Isiaka","Adult females (> 2 years)",1988,9
"2","Isiaka","Adult females (> 2 years)",1989,16
"3","Isiaka","Adult females (> 2 years)",1990,23
"4","Isiaka","Adult females (> 2 years)",1991,23
"5","Isiaka","Adult females (> 2 years)",1992,20
"6","Isiaka","Adult females (> 2 years)",1993,19
"7","Isiaka","Adult females (> 2 years)",1994,16
"8","Isiaka","Adult females (> 2 years)",1995,16
"9","Isiaka","Adult females (> 2 years)",1996,16
"10","Isiaka","Adult females (> 2 years)",1997,19
"11","Isiaka","Adult females (> 2 years)",1998,19
"12","Isiaka","Adult females (> 2 years)",1999,21
"13","Isiaka","Adult females (> 2 years)",2000,20
"14","Isiaka","Adult females (> 2 years)",2001,18
"15","Isiaka","Adult females (> 2 years)",2002,20
"16","Isiaka","Adult females (> 2 years)",2003,24
"17","Isiaka","Adult females (> 2 years)",2004,26
"18","Isiaka","Adult females (> 2 years)",2005,28
"19","Isiaka","Adult females (> 2 years)",2006,27
"20","Isiaka","Adult females (> 2 years)",2007,29
"21","Isiaka","Adult females (> 2 years)",2008,31
"22","Isiaka","Adult females (> 2 years)",2009,34
"23","Isiaka","Adult females (> 2 years)",2010,39
"24","Isiaka","Adult females (> 2 years)",2011,41
"25","Isiaka","Adult females (> 2 years)",2012,44
"26","Isiaka","Adult females (> 2 years)",2013,44
"27","Isiaka","Adult females (> 2 years)",2014,44
"28","Isiaka","Adult females (> 2 years)",2015,44
"29","Isiaka","Adult females (> 2 years)",2016,48
"30","Isiaka","Adult females (> 2 years)",2017,39
"31","Isiaka","Adult females (> 2 years)",2018,37
"32","Isiaka","Adult females (> 2 years)",2019,40
"33","Isiaka","Adult immigrant males (> 2 years)",1988,15
"34","Isiaka","Adult immigrant males (> 2 years)",1989,16
"35","Isiaka","Adult immigrant males (> 2 years)",1990,16
"36","Isiaka","Adult immigrant males (> 2 years)",1991,12
"37","Isiaka","Adult immigrant males (> 2 years)",1992,9
"38","Isiaka","Adult immigrant males (> 2 years)",1993,10
"39","Isiaka","Adult immigrant males (> 2 years)",1994,11
"40","Isiaka","Adult immigrant males (> 2 years)",1995,11
"41","Isiaka","Adult immigrant males (> 2 years)",1996,10
"42","Isiaka","Adult immigrant males (> 2 years)",1997,11
"43","Isiaka","Adult immigrant males (> 2 years)",1998,11
"44","Isiaka","Adult immigrant males (> 2 years)",1999,12
"45","Isiaka","Adult immigrant males (> 2 years)",2000,12
"46","Isiaka","Adult immigrant males (> 2 years)",2001,15
"47","Isiaka","Adult immigrant males (> 2 years)",2002,16
"48","Isiaka","Adult immigrant males (> 2 years)",2003,16
"49","Isiaka","Adult immigrant males (> 2 years)",2004,16
"50","Isiaka","Adult immigrant males (> 2 years)",2005,16
"51","Isiaka","Adult immigrant males (> 2 years)",2006,15
"52","Isiaka","Adult immigrant males (> 2 years)",2007,16
"53","Isiaka","Adult immigrant males (> 2 years)",2008,15
"54","Isiaka","Adult immigrant males (> 2 years)",2009,20
"55","Isiaka","Adult immigrant males (> 2 years)",2010,28
"56","Isiaka","Adult immigrant males (> 2 years)",2011,26
"57","Isiaka","Adult immigrant males (> 2 years)",2012,28
"58","Isiaka","Adult immigrant males (> 2 years)",2013,27
"59","Isiaka","Adult immigrant males (> 2 years)",2014,25
"60","Isiaka","Adult immigrant males (> 2 years)",2015,27
"61","Isiaka","Adult immigrant males (> 2 years)",2016,28
"62","Isiaka","Adult immigrant males (> 2 years)",2017,24
"63","Isiaka","Adult immigrant males (> 2 years)",2018,24
"64","Isiaka","Adult immigrant males (> 2 years)",2019,25
"65","Isiaka","Adult natal males (> 2 years)",1988,2
"66","Isiaka","Adult natal males (> 2 years)",1989,3
"67","Isiaka","Adult natal males (> 2 years)",1990,4
"68","Isiaka","Adult natal males (> 2 years)",1991,5
"69","Isiaka","Adult natal males (> 2 years)",1992,6
"70","Isiaka","Adult natal males (> 2 years)",1993,6
"71","Isiaka","Adult natal males (> 2 years)",1994,5
"72","Isiaka","Adult natal males (> 2 years)",1995,5
"73","Isiaka","Adult natal males (> 2 years)",1996,5
"74","Isiaka","Adult natal males (> 2 years)",1997,3
"75","Isiaka","Adult natal males (> 2 years)",1998,5
"76","Isiaka","Adult natal males (> 2 years)",1999,7
"77","Isiaka","Adult natal males (> 2 years)",2000,4
"78","Isiaka","Adult natal males (> 2 years)",2001,6
"79","Isiaka","Adult natal males (> 2 years)",2002,3
"80","Isiaka","Adult natal males (> 2 years)",2003,4
"81","Isiaka","Adult natal males (> 2 years)",2004,8
"82","Isiaka","Adult natal males (> 2 years)",2005,7
"83","Isiaka","Adult natal males (> 2 years)",2006,6
"84","Isiaka","Adult natal males (> 2 years)",2007,5
"85","Isiaka","Adult natal males (> 2 years)",2008,2
"86","Isiaka","Adult natal males (> 2 years)",2009,3
"87","Isiaka","Adult natal males (> 2 years)",2010,5
"88","Isiaka","Adult natal males (> 2 years)",2011,8
"89","Isiaka","Adult natal males (> 2 years)",2012,10
"90","Isiaka","Adult natal males (> 2 years)",2013,8
"91","Isiaka","Adult natal males (> 2 years)",2014,11
"92","Isiaka","Adult natal males (> 2 years)",2015,8
"93","Isiaka","Adult natal males (> 2 years)",2016,11
"94","Isiaka","Adult natal males (> 2 years)",2017,14
"95","Isiaka","Adult natal males (> 2 years)",2018,20
"96","Isiaka","Adult natal males (> 2 years)",2019,21
"97","Isiaka","Cubs (0-1 year)",1988,17
"98","Isiaka","Cubs (0-1 year)",1989,11
"99","Isiaka","Cubs (0-1 year)",1990,12
"100","Isiaka","Cubs (0-1 year)",1991,9
"101","Isiaka","Cubs (0-1 year)",1992,12
"102","Isiaka","Cubs (0-1 year)",1993,14
"103","Isiaka","Cubs (0-1 year)",1994,11
"104","Isiaka","Cubs (0-1 year)",1995,9
"105","Isiaka","Cubs (0-1 year)",1996,8
"106","Isiaka","Cubs (0-1 year)",1997,13
"107","Isiaka","Cubs (0-1 year)",1998,8
"108","Isiaka","Cubs (0-1 year)",1999,15
"109","Isiaka","Cubs (0-1 year)",2000,11
"110","Isiaka","Cubs (0-1 year)",2001,10
"111","Isiaka","Cubs (0-1 year)",2002,15
"112","Isiaka","Cubs (0-1 year)",2003,12
"113","Isiaka","Cubs (0-1 year)",2004,11
"114","Isiaka","Cubs (0-1 year)",2005,14
"115","Isiaka","Cubs (0-1 year)",2006,19
"116","Isiaka","Cubs (0-1 year)",2007,16
"117","Isiaka","Cubs (0-1 year)",2008,17
"118","Isiaka","Cubs (0-1 year)",2009,21
"119","Isiaka","Cubs (0-1 year)",2010,25
"120","Isiaka","Cubs (0-1 year)",2011,25
"121","Isiaka","Cubs (0-1 year)",2012,28
"122","Isiaka","Cubs (0-1 year)",2013,21
"123","Isiaka","Cubs (0-1 year)",2014,27
"124","Isiaka","Cubs (0-1 year)",2015,26
"125","Isiaka","Cubs (0-1 year)",2016,22
"126","Isiaka","Cubs (0-1 year)",2017,25
"127","Isiaka","Cubs (0-1 year)",2018,21
"128","Isiaka","Cubs (0-1 year)",2019,16
"129","Isiaka","Subadults (1-2 years)",1988,14
"130","Isiaka","Subadults (1-2 years)",1989,10
"131","Isiaka","Subadults (1-2 years)",1990,8
"132","Isiaka","Subadults (1-2 years)",1991,7
"133","Isiaka","Subadults (1-2 years)",1992,7
"134","Isiaka","Subadults (1-2 years)",1993,8
"135","Isiaka","Subadults (1-2 years)",1994,9
"136","Isiaka","Subadults (1-2 years)",1995,6
"137","Isiaka","Subadults (1-2 years)",1996,5
"138","Isiaka","Subadults (1-2 years)",1997,5
"139","Isiaka","Subadults (1-2 years)",1998,11
"140","Isiaka","Subadults (1-2 years)",1999,5
"141","Isiaka","Subadults (1-2 years)",2000,9
"142","Isiaka","Subadults (1-2 years)",2001,9
"143","Isiaka","Subadults (1-2 years)",2002,8
"144","Isiaka","Subadults (1-2 years)",2003,12
"145","Isiaka","Subadults (1-2 years)",2004,10
"146","Isiaka","Subadults (1-2 years)",2005,8
"147","Isiaka","Subadults (1-2 years)",2006,11
"148","Isiaka","Subadults (1-2 years)",2007,10
"149","Isiaka","Subadults (1-2 years)",2008,10
"150","Isiaka","Subadults (1-2 years)",2009,14
"151","Isiaka","Subadults (1-2 years)",2010,14
"152","Isiaka","Subadults (1-2 years)",2011,22
"153","Isiaka","Subadults (1-2 years)",2012,16
"154","Isiaka","Subadults (1-2 years)",2013,19
"155","Isiaka","Subadults (1-2 years)",2014,12
"156","Isiaka","Subadults (1-2 years)",2015,19
"157","Isiaka","Subadults (1-2 years)",2016,16
"158","Isiaka","Subadults (1-2 years)",2017,15
"159","Isiaka","Subadults (1-2 years)",2018,14
"160","Isiaka","Subadults (1-2 years)",2019,9
"161","Mamba","Adult females (> 2 years)",1988,NA
"162","Mamba","Adult females (> 2 years)",1989,NA
"163","Mamba","Adult females (> 2 years)",1990,NA
"164","Mamba","Adult females (> 2 years)",1991,29
"165","Mamba","Adult females (> 2 years)",1992,30
"166","Mamba","Adult females (> 2 years)",1993,33
"167","Mamba","Adult females (> 2 years)",1994,35
"168","Mamba","Adult females (> 2 years)",1995,35
"169","Mamba","Adult females (> 2 years)",1996,33
"170","Mamba","Adult females (> 2 years)",1997,35
"171","Mamba","Adult females (> 2 years)",1998,34
"172","Mamba","Adult females (> 2 years)",1999,34
"173","Mamba","Adult females (> 2 years)",2000,34
"174","Mamba","Adult females (> 2 years)",2001,37
"175","Mamba","Adult females (> 2 years)",2002,35
"176","Mamba","Adult females (> 2 years)",2003,32
"177","Mamba","Adult females (> 2 years)",2004,30
"178","Mamba","Adult females (> 2 years)",2005,29
"179","Mamba","Adult females (> 2 years)",2006,30
"180","Mamba","Adult females (> 2 years)",2007,34
"181","Mamba","Adult females (> 2 years)",2008,36
"182","Mamba","Adult females (> 2 years)",2009,38
"183","Mamba","Adult females (> 2 years)",2010,35
"184","Mamba","Adult females (> 2 years)",2011,31
"185","Mamba","Adult females (> 2 years)",2012,29
"186","Mamba","Adult females (> 2 years)",2013,33
"187","Mamba","Adult females (> 2 years)",2014,37
"188","Mamba","Adult females (> 2 years)",2015,34
"189","Mamba","Adult females (> 2 years)",2016,40
"190","Mamba","Adult females (> 2 years)",2017,35
"191","Mamba","Adult females (> 2 years)",2018,26
"192","Mamba","Adult females (> 2 years)",2019,27
"193","Mamba","Adult immigrant males (> 2 years)",1988,NA
"194","Mamba","Adult immigrant males (> 2 years)",1989,NA
"195","Mamba","Adult immigrant males (> 2 years)",1990,NA
"196","Mamba","Adult immigrant males (> 2 years)",1991,20
"197","Mamba","Adult immigrant males (> 2 years)",1992,19
"198","Mamba","Adult immigrant males (> 2 years)",1993,19
"199","Mamba","Adult immigrant males (> 2 years)",1994,20
"200","Mamba","Adult immigrant males (> 2 years)",1995,23
"201","Mamba","Adult immigrant males (> 2 years)",1996,27
"202","Mamba","Adult immigrant males (> 2 years)",1997,24
"203","Mamba","Adult immigrant males (> 2 years)",1998,20
"204","Mamba","Adult immigrant males (> 2 years)",1999,18
"205","Mamba","Adult immigrant males (> 2 years)",2000,18
"206","Mamba","Adult immigrant males (> 2 years)",2001,18
"207","Mamba","Adult immigrant males (> 2 years)",2002,22
"208","Mamba","Adult immigrant males (> 2 years)",2003,22
"209","Mamba","Adult immigrant males (> 2 years)",2004,23
"210","Mamba","Adult immigrant males (> 2 years)",2005,27
"211","Mamba","Adult immigrant males (> 2 years)",2006,26
"212","Mamba","Adult immigrant males (> 2 years)",2007,23
"213","Mamba","Adult immigrant males (> 2 years)",2008,19
"214","Mamba","Adult immigrant males (> 2 years)",2009,16
"215","Mamba","Adult immigrant males (> 2 years)",2010,16
"216","Mamba","Adult immigrant males (> 2 years)",2011,17
"217","Mamba","Adult immigrant males (> 2 years)",2012,17
"218","Mamba","Adult immigrant males (> 2 years)",2013,19
"219","Mamba","Adult immigrant males (> 2 years)",2014,18
"220","Mamba","Adult immigrant males (> 2 years)",2015,19
"221","Mamba","Adult immigrant males (> 2 years)",2016,19
"222","Mamba","Adult immigrant males (> 2 years)",2017,19
"223","Mamba","Adult immigrant males (> 2 years)",2018,17
"224","Mamba","Adult immigrant males (> 2 years)",2019,18
"225","Mamba","Adult natal males (> 2 years)",1991,1
"226","Mamba","Adult natal males (> 2 years)",1992,1
"227","Mamba","Adult natal males (> 2 years)",1993,3
"228","Mamba","Adult natal males (> 2 years)",1994,4
"229","Mamba","Adult natal males (> 2 years)",1995,2
"230","Mamba","Adult natal males (> 2 years)",1996,5
"231","Mamba","Adult natal males (> 2 years)",1997,7
"232","Mamba","Adult natal males (> 2 years)",1998,6
"233","Mamba","Adult natal males (> 2 years)",1999,8
"234","Mamba","Adult natal males (> 2 years)",2000,7
"235","Mamba","Adult natal males (> 2 years)",2001,8
"236","Mamba","Adult natal males (> 2 years)",2002,5
"237","Mamba","Adult natal males (> 2 years)",2003,6
"238","Mamba","Adult natal males (> 2 years)",2004,5
"239","Mamba","Adult natal males (> 2 years)",2005,4
"240","Mamba","Adult natal males (> 2 years)",2006,8
"241","Mamba","Adult natal males (> 2 years)",2007,10
"242","Mamba","Adult natal males (> 2 years)",2008,7
"243","Mamba","Adult natal males (> 2 years)",2009,6
"244","Mamba","Adult natal males (> 2 years)",2010,6
"245","Mamba","Adult natal males (> 2 years)",2011,6
"246","Mamba","Adult natal males (> 2 years)",2012,7
"247","Mamba","Adult natal males (> 2 years)",2013,8
"248","Mamba","Adult natal males (> 2 years)",2014,4
"249","Mamba","Adult natal males (> 2 years)",2015,3
"250","Mamba","Adult natal males (> 2 years)",2016,5
"251","Mamba","Adult natal males (> 2 years)",2017,6
"252","Mamba","Adult natal males (> 2 years)",2018,7
"253","Mamba","Adult natal males (> 2 years)",2019,7
"254","Mamba","Cubs (0-1 year)",1988,NA
"255","Mamba","Cubs (0-1 year)",1989,NA
"256","Mamba","Cubs (0-1 year)",1990,NA
"257","Mamba","Cubs (0-1 year)",1991,21
"258","Mamba","Cubs (0-1 year)",1992,20
"259","Mamba","Cubs (0-1 year)",1993,20
"260","Mamba","Cubs (0-1 year)",1994,18
"261","Mamba","Cubs (0-1 year)",1995,21
"262","Mamba","Cubs (0-1 year)",1996,14
"263","Mamba","Cubs (0-1 year)",1997,24
"264","Mamba","Cubs (0-1 year)",1998,16
"265","Mamba","Cubs (0-1 year)",1999,22
"266","Mamba","Cubs (0-1 year)",2000,17
"267","Mamba","Cubs (0-1 year)",2001,12
"268","Mamba","Cubs (0-1 year)",2002,14
"269","Mamba","Cubs (0-1 year)",2003,9
"270","Mamba","Cubs (0-1 year)",2004,13
"271","Mamba","Cubs (0-1 year)",2005,16
"272","Mamba","Cubs (0-1 year)",2006,21
"273","Mamba","Cubs (0-1 year)",2007,18
"274","Mamba","Cubs (0-1 year)",2008,18
"275","Mamba","Cubs (0-1 year)",2009,19
"276","Mamba","Cubs (0-1 year)",2010,15
"277","Mamba","Cubs (0-1 year)",2011,22
"278","Mamba","Cubs (0-1 year)",2012,22
"279","Mamba","Cubs (0-1 year)",2013,17
"280","Mamba","Cubs (0-1 year)",2014,21
"281","Mamba","Cubs (0-1 year)",2015,16
"282","Mamba","Cubs (0-1 year)",2016,11
"283","Mamba","Cubs (0-1 year)",2017,23
"284","Mamba","Cubs (0-1 year)",2018,11
"285","Mamba","Cubs (0-1 year)",2019,11
"286","Mamba","Subadults (1-2 years)",1988,NA
"287","Mamba","Subadults (1-2 years)",1989,NA
"288","Mamba","Subadults (1-2 years)",1990,NA
"289","Mamba","Subadults (1-2 years)",1991,7
"290","Mamba","Subadults (1-2 years)",1992,9
"291","Mamba","Subadults (1-2 years)",1993,14
"292","Mamba","Subadults (1-2 years)",1994,8
"293","Mamba","Subadults (1-2 years)",1995,8
"294","Mamba","Subadults (1-2 years)",1996,11
