year,herds_position_w_transit,days_monitored,days,prop
1989,north west,34,92,0.3695652173913043
1989,south east,84,141,0.5957446808510638
1989,transit,48,132,0.36363636363636365
1990,north west,17,92,0.18478260869565216
1990,south east,87,141,0.6170212765957447
1990,transit,73,132,0.553030303030303
1991,north west,35,92,0.3804347826086957
1991,south east,89,141,0.6312056737588653
1991,transit,60,132,0.45454545454545453
1992,north west,20,92,0.21739130434782608
1992,south east,95,142,0.6690140845070423
1992,transit,63,132,0.4772727272727273
1993,north west,71,92,0.7717391304347826
1993,south east,120,141,0.851063829787234
1993,transit,81,132,0.6136363636363636
1994,north west,48,92,0.5217391304347826
1994,south east,92,141,0.6524822695035462
1994,transit,113,132,0.8560606060606061
1995,north west,55,92,0.5978260869565217
1995,south east,94,141,0.6666666666666666
1995,transit,66,132,0.5
1996,north west,69,92,0.75
1996,south east,97,142,0.6830985915492958
1996,transit,95,132,0.7196969696969697
1997,north west,68,92,0.7391304347826086
1997,south east,99,141,0.7021276595744681
1997,transit,93,132,0.7045454545454546
1998,north west,48,92,0.5217391304347826
1998,south east,86,141,0.6099290780141844
1998,transit,81,132,0.6136363636363636
1999,north west,69,92,0.75
1999,south east,96,141,0.6808510638297872
1999,transit,74,132,0.5606060606060606
2000,north west,78,92,0.8478260869565217
2000,south east,97,142,0.6830985915492958
2000,transit,78,132,0.5909090909090909
2001,north west,45,92,0.4891304347826087
2001,south east,78,141,0.5531914893617021
2001,transit,77,132,0.5833333333333334
2002,north west,67,92,0.7282608695652174
2002,south east,75,141,0.5319148936170213
2002,transit,81,132,0.6136363636363636
2003,north west,68,92,0.7391304347826086
2003,south east,107,141,0.7588652482269503
2003,transit,64,132,0.48484848484848486
2004,north west,80,92,0.8695652173913043
2004,south east,116,142,0.8169014084507042
2004,transit,59,132,0.44696969696969696
2005,north west,63,92,0.6847826086956522
2005,south east,88,141,0.624113475177305
2005,transit,64,132,0.48484848484848486
2006,north west,68,92,0.7391304347826086
2006,south east,101,141,0.7163120567375887
2006,transit,95,132,0.7196969696969697
2007,north west,70,92,0.7608695652173914
2007,south east,71,141,0.5035460992907801
2007,transit,103,132,0.7803030303030303
2008,north west,60,92,0.6521739130434783
2008,south east,69,142,0.4859154929577465
2008,transit,88,132,0.6666666666666666
2009,north west,55,92,0.5978260869565217
2009,south east,64,141,0.45390070921985815
2009,transit,119,132,0.9015151515151515
2010,north west,77,92,0.8369565217391305
2010,south east,97,141,0.6879432624113475
2010,transit,76,132,0.5757575757575758
2011,north west,46,92,0.5
2011,south east,107,141,0.7588652482269503
2011,transit,82,132,0.6212121212121212
2012,north west,71,92,0.7717391304347826
2012,south east,100,142,0.704225352112676
2012,transit,76,132,0.5757575757575758
2013,north west,33,92,0.358695652173913
2013,south east,77,141,0.5460992907801419
2013,transit,96,132,0.7272727272727273
2014,north west,0,92,0
2014,south east,89,141,0.6312056737588653
2014,transit,84,132,0.6363636363636364
2015,north west,62,92,0.6739130434782609
2015,south east,66,141,0.46808510638297873
2015,transit,83,132,0.6287878787878788
2016,north west,75,92,0.8152173913043478
2016,south east,96,142,0.676056338028169
2016,transit,112,132,0.8484848484848485
2017,north west,84,92,0.9130434782608695
2017,south east,92,141,0.6524822695035462
2017,transit,107,132,0.8106060606060606
2018,north west,78,92,0.8478260869565217
2018,south east,86,141,0.6099290780141844
2018,transit,86,132,0.6515151515151515
2019,north west,78,92,0.8478260869565217
2019,south east,99,141,0.7021276595744681
2019,transit,75,132,0.5681818181818182
2020,north west,0,92,0
2020,south east,32,142,0.22535211267605634
2020,transit,0,132,0
2021,north west,50,92,0.5434782608695652
2021,south east,9,141,0.06382978723404255
2021,transit,43,132,0.32575757575757575
2022,south east,67,87,0.7701149425287356
